,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
559,Dying of the Light,2014,4.4,31        ,9445,R,https://imdb.com/title/tt1274586/,Action,Drama,Thriller,Nicolas Cage,Anton Yelchin,Alexander Karim,0,0,0,0,94,5000000,697847
560,Premature,2014,5.8,34        ,9438,R,https://imdb.com/title/tt2182256/,Comedy,Fantasy,,John Karna,Caroline Traywick,Kate Kneeland,0,0,0,2,93,,415863
561,Beyond the Reach,2014,5.6,34        ,9309,R,https://imdb.com/title/tt2911668/,Thriller,,,Michael Douglas,Jeremy Irvine,Martin Palmer,0,0,0,0,91,,1100432
562,The Last Five Years,2014,5.9,60        ,9197,PG-13,https://imdb.com/title/tt2474024/,Comedy,Drama,Musical,Anna Kendrick,Jeremy Jordan,Tamara Mintz,0,0,1,1,94,3500000,292092
563,Young Ones,2014,5.9,47        ,9051,R,https://imdb.com/title/tt2693664/,Action,Drama,Romance,Nicholas Hoult,Kodi Smit-McPhee,Michael Shannon,0,0,2,1,100,,7740
564,Song One,2014,5.8,48        ,8931,PG-13,https://imdb.com/title/tt2182972/,Drama,Music,,Anne Hathaway,Johnny Flynn,Mary Steenburgen,0,0,0,1,86,6000000,408918
565,5 Flights Up,2014,6.2,55        ,8925,PG-13,https://imdb.com/title/tt2933544/,Comedy,Drama,,Diane Keaton,Morgan Freeman,Cynthia Nixon,0,0,0,1,88,6000000,3679847
566,Northmen - A Viking Saga,2014,5.4,50        ,8837,R,https://imdb.com/title/tt2290553/,Action,Drama,History,Charlie Murphy,Ed Skrein,James Norton,0,0,0,1,97,,3005082
567,Addicted,2014,5.2,32        ,8601,R,https://imdb.com/title/tt2205401/,Drama,Thriller,,Sharon Leal,Boris Kodjoe,John Newberg,0,0,0,0,106,5000000,17534314
568,My Old Lady,2014,6.4,52        ,8486,PG-13,https://imdb.com/title/tt2908856/,Comedy,Drama,Romance,Kevin Kline,Kristin Scott Thomas,Maggie Smith,0,0,1,1,107,5000000,10606667
