,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
781,The Dinner,2017,4.5,57        ,7305,R,https://imdb.com/title/tt3203620/,Crime,Drama,Thriller,Michael Chernus,Taylor Rae Almonte,Steve Coogan,0,0,0,2,120,,2544921
782,The Last Word,2017,6.6,40        ,7051,R,https://imdb.com/title/tt5023260/,Comedy,Drama,,Shirley MacLaine,Amanda Seyfried,AnnJewel Lee Dixon,0,0,0,0,108,,2982004
783,The Cured,2017,5.5,57        ,7015,R,https://imdb.com/title/tt3463106/,Drama,Horror,Sci-Fi,Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,0,0,0,2,95,,323776
784,Journey's End,2017,6.6,73        ,6963,R,https://imdb.com/title/tt3780500/,Drama,War,,Paul Bettany,Sam Claflin,Stephen Graham,0,0,4,3,107,,970809
785,The Great Father,2017,7.3,,6890,PG,https://imdb.com/title/tt5996836/,Action,Crime,Drama,Rony David,Anu Joseph,Molly Kannamaly,0,0,0,1,151,60000000,
786,The Leisure Seeker,2017,6.7,45        ,6791,R,https://imdb.com/title/tt3741632/,Adventure,Comedy,Drama,Helen Mirren,Donald Sutherland,Christian McKay,0,1,3,38,112,,10472180
787,Sweet Country,2017,6.9,87        ,6757,R,https://imdb.com/title/tt6958212/,Adventure,Crime,Drama,Hamilton Morris,Shanika Cole,Ewen Leslie,0,0,22,29,113,,1847693
788,Kill Switch,2017,4.8,31        ,6702,R,https://imdb.com/title/tt5464234/,Action,Sci-Fi,Thriller,Dan Stevens,Bérénice Marlohe,Tygo Gernandt,0,0,0,0,91,,
789,Diary of a Wimpy Kid: The Long Haul,2017,4.3,39        ,6558,PG,https://imdb.com/title/tt6003368/,Comedy,Family,,Jason Drucker,Alicia Silverstone,Tom Everett Scott,0,0,0,1,91,22000000,40140972
790,The Crucifixion,2017,5.1,,6550,R,https://imdb.com/title/tt4181782/,Horror,Mystery,Thriller,Sophie Cookson,Corneliu Ulici,Ada Lupu,0,0,0,0,90,,6554322
791,Extortion,2017,6.2,,6535,R,https://imdb.com/title/tt2957760/,Action,Adventure,Crime,Eion Bailey,Bethany Joy Lenz,Mauricio Alemañy,0,0,0,0,108,,8617
792,The Recall,2017,4.2,,6510,R,https://imdb.com/title/tt5669936/,Action,Horror,Sci-Fi,Wesley Snipes,RJ Mitte,Jedidiah Goodacre,0,0,0,1,90,3600000,112357
793,Flower,2017,6.0,45        ,6505,R,https://imdb.com/title/tt2582784/,Comedy,Drama,,Zoey Deutch,Kathryn Hahn,Tim Heidecker,0,0,0,1,90,,380553
794,Deadpool,2016,8.0,65        ,874622,R,https://imdb.com/title/tt1431045/,Action,Adventure,Comedy,Ryan Reynolds,Morena Baccarin,T.J. Miller,0,2,28,2875,108,58000000,782612155
795,Captain America: Civil War,2016,7.8,75        ,637132,PG-13,https://imdb.com/title/tt3498820/,Action,Adventure,Sci-Fi,Chris Evans,Robert Downey Jr.,Scarlett Johansson,0,0,16,68,147,250000000,1153296293
796,Batman v Superman: Dawn of Justice,2016,6.5,44        ,607274,PG-13,https://imdb.com/title/tt2975590/,Action,Adventure,Sci-Fi,Ben Affleck,Henry Cavill,Amy Adams,0,0,14,33,151,250000000,873634919
797,Suicide Squad,2016,6.0,40        ,580869,PG-13,https://imdb.com/title/tt1386697/,Action,Adventure,Fantasy,Will Smith,Jared Leto,Margot Robbie,0,1,16,1639,123,175000000,746846894
798,Doctor Strange,2016,7.5,72        ,571504,PG-13,https://imdb.com/title/tt1211837/,Action,Adventure,Fantasy,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,0,1,20,2065,115,165000000,677718395
799,Arrival,2016,7.9,81        ,567945,PG-13,https://imdb.com/title/tt2543164/,Drama,Mystery,Sci-Fi,Amy Adams,Jeremy Renner,Forest Whitaker,0,1,67,67262,116,47000000,203388186
800,Rogue One: A Star Wars Story,2016,7.8,65        ,533035,PG-13,https://imdb.com/title/tt3748528/,Action,Adventure,Sci-Fi,Felicity Jones,Diego Luna,Alan Tudyk,0,2,24,2480,133,200000000,1056057273
801,La La Land,2016,8.0,94        ,480862,PG-13,https://imdb.com/title/tt3783958/,Comedy,Drama,Music,Ryan Gosling,Emma Stone,Rosemarie DeWitt,0,6,237,237287,128,30000000,446486224
802,Zootopia,2016,8.0,78        ,416088,PG,https://imdb.com/title/tt2948356/,Animation,Adventure,Comedy,Ginnifer Goodwin,Jason Bateman,Idris Elba,0,1,46,4671,108,150000000,1023784195
803,Hacksaw Ridge,2016,8.1,71        ,411272,R,https://imdb.com/title/tt2119532/,Biography,Drama,History,Andrew Garfield,Sam Worthington,Luke Bracey,190,2,50,50114,139,40000000,180450918
804,Split,2016,7.3,62        ,403371,PG-13,https://imdb.com/title/tt4972582/,Horror,Thriller,,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,0,0,9,21,117,9000000,278454358
