movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
Chained Heat,5.0,64.0,2016.0,1.0,Action,Crime,Drama,Linda Blair,John Vernon,Sybil Danning,0.0,1.0,1.0,88.0,1250000.0,6149983.0,1983
The Sting II,4.9,64.0,1992.0,2.0,Comedy,Crime,Crime,Jackie Gleason,Mac Davis,Teri Garr,1.0,0.0,0.0,101.0,43819528.982781656,6347072.0,1983
The Black Stallion Returns,6.0,34.0,1935.0,2.0,Adventure,Family,Family,Kelly Reno,Vincent Spano,Allen Garfield,0.0,0.0,1.0,103.0,43819528.982781656,12049514.0,1983
Savage Islands,6.2,64.0,1865.0,2.0,Action,Adventure,Comedy,Tommy Lee Jones,Michael O'Keefe,Max Phipps,0.0,0.0,0.0,99.0,12000000.0,1963756.0,1983
Revenge of the Dead,6.2,64.0,1841.0,1.0,Horror,Horror,Horror,Gabriele Lavia,Anne Canovas,Paola Tanziani,0.0,0.0,0.0,98.0,500000000.0,53160295.192035295,1983
Conquest,5.2,64.0,1779.0,1.0,Action,Adventure,Fantasy,Jorge Rivero,Andrea Occhipinti,Conrado San Martín,0.0,0.0,0.0,88.0,43819528.982781656,53160295.192035295,1983
Without a Trace,7.0,60.0,1765.0,2.0,Drama,Mystery,Mystery,Kate Nelligan,Judd Hirsch,David Dukes,0.0,0.0,0.0,120.0,43819528.982781656,9632062.0,1983
Joysticks,4.4,64.0,1755.0,1.0,Comedy,Comedy,Comedy,Joe Don Baker,Leif Green,Jim Greenleaf,0.0,0.0,0.0,88.0,300000.0,3952448.0,1983
Streamers,6.5,64.0,1744.0,1.0,Crime,Drama,War,Matthew Modine,Michael Wright,Mitchell Lichtenstein,0.0,1.0,2.0,118.0,43819528.982781656,378452.0,1983
Mausoleum,5.1,64.0,1681.0,1.0,Horror,Horror,Horror,Marjoe Gortner,Bobbie Bresee,Norman Burton,0.0,0.0,1.0,96.0,43819528.982781656,53160295.192035295,1983
Baby It's You,6.3,64.0,1656.0,1.0,Comedy,Drama,Romance,Rosanna Arquette,Vincent Spano,Joanna Merlin,0.0,0.0,1.0,105.0,3000000.0,1867792.0,1983
