,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
108,The Lion King,201,6.9,55.0,193770.0,PG,https://imdb.com/title/tt6105098/,69.0
109,Fast & Furious Presents: Hobbs & Shaw,201,6.4,60.0,153160.0,PG-13,https://imdb.com/title/tt6806448/,64.0
110,Spider-Man: Far from Home,201,7.5,69.0,295101.0,PG-13,https://imdb.com/title/tt6320628/,75.0
111,Aladdin,201,7.0,53.0,208642.0,PG,https://imdb.com/title/tt6139732/,70.0
112,Booksmart,201,7.2,84.0,79540.0,R,https://imdb.com/title/tt1489887/,72.0
113,Frozen II,201,6.9,64.0,112198.0,PG,https://imdb.com/title/tt4520988/,69.0
114,6 Underground,201,6.1,41.0,123624.0,R,https://imdb.com/title/tt8106534/,61.0
115,Portrait of a Lady on Fire,201,8.1,95.0,41306.0,R,https://imdb.com/title/tt8613070/,81.0
116,After,201,5.4,30.0,28266.0,PG-13,https://imdb.com/title/tt4126476/,54.0
117,Captain Marvel,201,6.9,64.0,415109.0,PG-13,https://imdb.com/title/tt4154664/,69.0
118,Outback,201,4.9,,364.0,R,https://imdb.com/title/tt7336182/,49.0
119,Yesterday,201,6.8,55.0,99242.0,PG-13,https://imdb.com/title/tt8079248/,68.0
120,Charlie's Angels,201,4.7,52.0,42489.0,PG-13,https://imdb.com/title/tt5033998/,47.0
121,John Wick: Chapter 3 - Parabellum,201,7.5,73.0,249576.0,R,https://imdb.com/title/tt6146586/,75.0
122,Cats,201,2.7,32.0,33997.0,PG,https://imdb.com/title/tt5697572/,27.0
123,Anna,201,6.6,40.0,51038.0,R,https://imdb.com/title/tt7456310/,66.0
124,Lucy in the Sky,201,4.7,36.0,3982.0,R,https://imdb.com/title/tt4682804/,47.0
125,Shazam!,201,7.1,71.0,233801.0,PG-13,https://imdb.com/title/tt0448115/,71.0
126,Us,201,6.9,81.0,202384.0,R,https://imdb.com/title/tt6857112/,69.0
127,A Rainy Day in New York,201,6.6,44.0,22271.0,PG-13,https://imdb.com/title/tt7139936/,66.0
128,Terminator: Dark Fate,201,6.3,54.0,122958.0,R,https://imdb.com/title/tt6450804/,63.0
129,Downton Abbey,201,7.4,64.0,33195.0,PG,https://imdb.com/title/tt6398184/,74.0
130,The King,201,7.2,62.0,75123.0,R,https://imdb.com/title/tt7984766/,72.0
131,Official Secrets,201,7.3,63.0,21662.0,R,https://imdb.com/title/tt5431890/,73.0
132,The Addams Family,201,5.8,46.0,21187.0,PG,https://imdb.com/title/tt1620981/,58.0
133,Angel Has Fallen,201,6.4,45.0,68733.0,R,https://imdb.com/title/tt6189022/,64.0
134,Marriage Story,201,8.0,94.0,217062.0,R,https://imdb.com/title/tt7653254/,80.0
135,Crawl,201,6.2,60.0,55598.0,R,https://imdb.com/title/tt8364368/,62.0
136,The Peanut Butter Falcon,201,7.6,70.0,41737.0,PG-13,https://imdb.com/title/tt4364194/,76.0
137,Vivarium,201,5.8,64.0,20626.0,R,https://imdb.com/title/tt8368406/,58.0
138,X-Men: Dark Phoenix,201,5.8,43.0,140810.0,PG-13,https://imdb.com/title/tt6565702/,58.0
139,Zombieland: Double Tap,201,6.7,55.0,112973.0,R,https://imdb.com/title/tt1560220/,67.0
140,Gemini Man,201,5.7,38.0,66313.0,PG-13,https://imdb.com/title/tt1025100/,57.0
141,Dark Waters,201,7.6,73.0,38483.0,PG-13,https://imdb.com/title/tt9071322/,76.0
142,The Goldfinch,201,6.2,40.0,12175.0,R,https://imdb.com/title/tt3864056/,62.0
143,Richard Jewell,201,7.5,68.0,41509.0,R,https://imdb.com/title/tt3513548/,75.0
144,Good Boys,201,6.7,60.0,51609.0,R,https://imdb.com/title/tt7343762/,67.0
145,21 Bridges,201,6.6,51.0,31410.0,R,https://imdb.com/title/tt8688634/,66.0
146,Queen & Slim,201,7.0,74.0,15800.0,R,https://imdb.com/title/tt8722346/,70.0
147,Glass,201,6.7,43.0,193377.0,PG-13,https://imdb.com/title/tt6823368/,67.0
148,Godzilla: King of the Monsters,201,6.0,48.0,121307.0,PG-13,https://imdb.com/title/tt3741700/,60.0
149,The Assistant,201,6.0,79.0,5165.0,R,https://imdb.com/title/tt9000224/,60.0
150,The Hustle,201,5.4,35.0,41122.0,PG-13,https://imdb.com/title/tt1298644/,54.0
151,Annabelle Comes Home,201,5.9,53.0,51066.0,R,https://imdb.com/title/tt8350360/,59.0
152,Long Shot,201,6.8,67.0,83934.0,R,https://imdb.com/title/tt2139881/,68.0
153,Men in Black: International,201,5.6,38.0,99613.0,PG-13,https://imdb.com/title/tt2283336/,56.0
154,Ma,201,5.6,53.0,34449.0,R,https://imdb.com/title/tt7958736/,56.0
155,Honey Boy,201,7.3,73.0,19385.0,R,https://imdb.com/title/tt8151874/,73.0
156,"Extremely Wicked, Shockingly Evil and Vile",201,6.6,52.0,70346.0,R,https://imdb.com/title/tt2481498/,66.0
157,Rambo: Last Blood,201,6.2,26.0,69777.0,R,https://imdb.com/title/tt1206885/,62.0
158,Spies in Disguise,201,6.8,54.0,24594.0,PG,https://imdb.com/title/tt5814534/,68.0
159,Stuber,201,6.2,42.0,35363.0,R,https://imdb.com/title/tt7734218/,62.0
160,Motherless Brooklyn,201,6.8,60.0,30643.0,R,https://imdb.com/title/tt0385887/,68.0
161,A Hidden Life,201,7.4,78.0,12958.0,PG-13,https://imdb.com/title/tt5827916/,74.0
162,Waves,201,7.6,80.0,12031.0,R,https://imdb.com/title/tt8652728/,76.0
163,True History of the Kelly Gang,201,6.1,75.0,3857.0,R,https://imdb.com/title/tt4844140/,61.0
164,Triple Frontier,201,6.4,61.0,98778.0,R,https://imdb.com/title/tt1488606/,64.0
165,Come to Daddy,201,6.0,64.0,8475.0,R,https://imdb.com/title/tt8816194/,60.0
166,Murder Mystery,201,6.0,38.0,90613.0,PG-13,https://imdb.com/title/tt1618434/,60.0
167,Scary Stories to Tell in the Dark,201,6.2,61.0,50565.0,PG-13,https://imdb.com/title/tt3387520/,62.0
168,Fighting with My Family,201,7.1,68.0,59937.0,PG-13,https://imdb.com/title/tt6513120/,71.0
169,Harriet,201,6.4,66.0,14432.0,PG-13,https://imdb.com/title/tt4648786/,64.0
170,Five Feet Apart,201,7.2,53.0,35329.0,PG-13,https://imdb.com/title/tt6472976/,72.0
171,Weathering with You,201,7.6,72.0,12893.0,PG-13,https://imdb.com/title/tt9426210/,76.0
172,Hellboy,201,5.2,31.0,72345.0,R,https://imdb.com/title/tt2274648/,52.0
173,Dora and the Lost City of Gold,201,6.0,63.0,19316.0,PG,https://imdb.com/title/tt7547410/,60.0
174,Jay and Silent Bob Reboot,201,5.7,46.0,15411.0,R,https://imdb.com/title/tt6521876/,57.0
175,Big Time Adolescence,201,7.0,64.0,3849.0,R,https://imdb.com/title/tt3824648/,70.0
176,The Highwaymen,201,6.9,58.0,66643.0,R,https://imdb.com/title/tt1860242/,69.0
177,The Kitchen,201,5.4,35.0,12477.0,R,https://imdb.com/title/tt5822564/,54.0
178,Pokémon Detective Pikachu,201,6.6,53.0,126690.0,PG,https://imdb.com/title/tt5884052/,66.0
179,Judy,201,6.8,66.0,31685.0,PG-13,https://imdb.com/title/tt7549996/,68.0
