,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
565,The Huntsman: Winter's War,201,6.1,35.0,94599.0,PG-13,https://imdb.com/title/tt2381991/,61.0
566,Collateral Beauty,201,6.8,23.0,87675.0,PG-13,https://imdb.com/title/tt4682786/,68.0
567,A Monster Calls,201,7.5,76.0,77675.0,PG-13,https://imdb.com/title/tt3416532/,75.0
568,Gold,201,6.7,49.0,54766.0,R,https://imdb.com/title/tt1800302/,67.0
569,The Brothers Grimsby,201,6.2,44.0,88477.0,R,https://imdb.com/title/tt3381008/,62.0
570,The BFG,201,6.4,66.0,74594.0,PG,https://imdb.com/title/tt3691740/,64.0
571,Kung Fu Panda 3,201,7.1,66.0,127924.0,PG,https://imdb.com/title/tt2267968/,71.0
572,Alice Through the Looking Glass,201,6.2,34.0,88132.0,PG,https://imdb.com/title/tt2567026/,62.0
573,Bridget Jones's Baby,201,6.5,59.0,65555.0,R,https://imdb.com/title/tt1473832/,65.0
574,Brimstone,201,7.1,45.0,34415.0,R,https://imdb.com/title/tt1895315/,71.0
575,Mechanic: Resurrection,201,5.7,38.0,73420.0,R,https://imdb.com/title/tt3522806/,57.0
576,Midnight Special,201,6.6,76.0,72529.0,PG-13,https://imdb.com/title/tt2649554/,66.0
577,Better Watch Out,201,6.5,67.0,27544.0,R,https://imdb.com/title/tt4443658/,65.0
578,Miss Sloane,201,7.5,64.0,60453.0,R,https://imdb.com/title/tt4540710/,75.0
579,The Choice,201,6.6,26.0,33233.0,PG-13,https://imdb.com/title/tt3797868/,66.0
580,The Finest Hours,201,6.8,58.0,59821.0,PG-13,https://imdb.com/title/tt2025690/,68.0
581,Raw,201,7.0,81.0,56624.0,R,https://imdb.com/title/tt4954522/,70.0
582,I Am Wrath,201,5.4,,12817.0,R,https://imdb.com/title/tt3212232/,54.0
583,Free State of Jones,201,6.9,53.0,49146.0,R,https://imdb.com/title/tt1124037/,69.0
584,Whiskey Tango Foxtrot,201,6.6,57.0,48398.0,R,https://imdb.com/title/tt3553442/,66.0
585,The Purge: Election Year,201,6.0,55.0,86773.0,R,https://imdb.com/title/tt4094724/,60.0
586,Keanu,201,6.2,63.0,44354.0,R,https://imdb.com/title/tt4139124/,62.0
587,Free Fire,201,6.4,63.0,39892.0,R,https://imdb.com/title/tt4158096/,64.0
588,Anthropoid,201,7.2,59.0,41722.0,R,https://imdb.com/title/tt4190530/,72.0
589,Sing Street,201,7.9,79.0,81608.0,PG-13,https://imdb.com/title/tt3544112/,79.0
590,Popstar: Never Stop Never Stopping,201,6.7,68.0,51891.0,R,https://imdb.com/title/tt3960412/,67.0
591,Boyka: Undisputed,201,7.0,,24346.0,R,https://imdb.com/title/tt3344680/,70.0
592,My Big Fat Greek Wedding 2,201,6.0,37.0,27502.0,PG-13,https://imdb.com/title/tt3760922/,60.0
593,Neighbors 2: Sorority Rising,201,5.7,58.0,110100.0,R,https://imdb.com/title/tt4438848/,57.0
594,Café Society,201,6.6,64.0,68062.0,PG-13,https://imdb.com/title/tt4513674/,66.0
595,Dark Crimes,201,4.8,24.0,13656.0,R,https://imdb.com/title/tt1901024/,48.0
596,Get a Job,201,5.3,31.0,20697.0,R,https://imdb.com/title/tt1468846/,53.0
597,Zoolander 2,201,4.7,34.0,63078.0,PG-13,https://imdb.com/title/tt1608290/,47.0
598,Triple 9,201,6.3,52.0,63667.0,R,https://imdb.com/title/tt1712261/,63.0
599,Before I Wake,201,6.2,68.0,36946.0,PG-13,https://imdb.com/title/tt3174376/,62.0
600,Everybody Wants Some!!,201,6.9,83.0,50372.0,R,https://imdb.com/title/tt2937696/,69.0
601,Colossal,201,6.2,70.0,56385.0,R,https://imdb.com/title/tt4680182/,62.0
602,Jackie,201,6.7,81.0,70717.0,R,https://imdb.com/title/tt1619029/,67.0
603,Julieta,201,7.1,73.0,27638.0,R,https://imdb.com/title/tt4326444/,71.0
