,movie,year,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross
3723,Ginger and Fred,1986,7.3,7.8,4567,3,Comedy,Drama,,Marcello Mastroianni,Giulietta Masina,Franco Fabrizi,1,18.0,17.0,125.0,,837623.0
3724,Rawhead Rex,1986,5.3,7.8,4555,1,Fantasy,Horror,Mystery,David Dukes,Kelly Piper,Hugh O'Conor,0,0.0,1.0,86.0,1500000.0,
3725,'Round Midnight,1986,7.4,7.8,4496,1,Drama,Music,,Dexter Gordon,François Cluzet,Gabrielle Haker,1,10.0,12.0,133.0,,3272593.0
3726,8 Million Ways to Die,1986,5.8,29.0,4311,1,Action,Crime,Drama,Jeff Bridges,Rosanna Arquette,Alexandra Paul,0,0.0,1.0,115.0,18000000.0,1305114.0
3727,Quicksilver,1986,5.7,43.0,4291,2,Crime,Drama,Thriller,Kevin Bacon,Jami Gertz,Paul Rodriguez,0,0.0,0.0,105.0,,7634909.0
3728,Wanted: Dead or Alive,1986,6.0,7.8,4255,1,Action,Crime,Drama,Rutger Hauer,Gene Simmons,Robert Guillaume,0,0.0,1.0,106.0,,7555000.0
3729,Solarbabies,1986,4.8,24.0,3909,3,Action,Adventure,Drama,Richard Jordan,Jami Gertz,Jason Patric,0,0.0,1.0,94.0,25000000.0,1579260.0
3730,Nomads,1986,5.4,7.8,3715,1,Horror,Mystery,Thriller,Lesley-Anne Down,Pierce Brosnan,Anna Maria Monticelli,0,0.0,0.0,91.0,,2278264.0
3731,Man Facing Southeast,1986,7.7,7.8,3552,1,Drama,Mystery,Sci-Fi,Lorenzo Quinteros,Hugo Soto,Inés Vernengo,0,13.0,2.0,105.0,600000.0,
3732,Crimes of the Heart,1986,6.4,7.8,3548,3,Comedy,Drama,,Diane Keaton,Jessica Lange,Sissy Spacek,3,3.0,1.0,105.0,20000000.0,22905522.0
3733,Thrashin',1986,6.7,54.0,3445,3,Action,Drama,Romance,Josh Brolin,Robert Rusler,Pamela Gidley,0,0.0,0.0,93.0,,
3734,Extremities,1986,6.3,39.0,3285,1,Drama,Thriller,,Farrah Fawcett,James Russo,Alfre Woodard,1,,1.0,89.0,,13418091.0
3735,Le garçon de course,1986,8.0,7.8,3192,1,Comedy,Drama,Romance,Fyodor Dunayevsky,Anastasiya Nemolyaeva,Oleg Basilashvili,0,1.0,2.0,88.0,,
3736,Brighton Beach Memoirs,1986,6.8,54.0,3136,3,Comedy,,,Blythe Danner,Jonathan Silverman,Stacey Glick,0,0.0,0.0,108.0,18000000.0,11957943.0
3737,Absolute Beginners,1986,5.5,60.0,3016,3,Drama,Musical,Romance,Patsy Kensit,Eddie O'Connell,David Bowie,0,0.0,0.0,108.0,,930211.0
3738,Wisdom,1986,5.8,37.0,3000,1,Crime,Drama,,Emilio Estevez,Demi Moore,Tom Skerritt,0,0.0,1.0,109.0,,5715174.0
3739,Castaway,1986,5.8,7.8,2999,1,Adventure,Biography,Drama,Oliver Reed,Amanda Donohoe,Georgina Hale,0,0.0,0.0,117.0,,
3740,The Assault,1986,7.2,7.8,2967,2,Drama,History,Romance,Derek de Lint,Marc van Uchelen,Monique van de Ven,1,,,141.0,,512403.0
3741,Under the Cherry Moon,1986,5.1,36.0,2961,3,Comedy,Drama,Music,Prince,Jerome Benton,Kristin Scott Thomas,0,5.0,4.0,100.0,,10090429.0
3742,Crawlspace,1986,5.3,7.8,2865,1,Horror,Thriller,,Klaus Kinski,Talia Balsam,Barbara Whinnery,0,0.0,0.0,80.0,,
3743,Aladdin,1986,5.4,7.8,2859,2,Adventure,Fantasy,,Bud Spencer,Luca Venantini,Janet Agren,0,0.0,0.0,91.0,,
3744,Biggles: Adventures in Time,1986,5.7,7.8,2640,2,Adventure,Family,Sci-Fi,Neil Dickson,Alex Hyde-White,Fiona Hutchison,0,0.0,0.0,88.0,,
3745,Band of the Hand,1986,6.3,34.0,2629,1,Action,Crime,Drama,Stephen Lang,Michael Carmine,Lauren Holly,0,0.0,1.0,109.0,8700000.0,4865912.0
3746,Power,1986,5.7,50.0,2622,1,Drama,,,Richard Gere,Julie Christie,Gene Hackman,0,1.0,1.0,111.0,16000000.0,3800000.0
3747,Dead End Drive-In,1986,6.0,7.8,2604,1,Action,Drama,Horror,Ned Manning,Natalie McCurry,Peter Whitford,0,0.0,1.0,88.0,2300000.0,
3748,Link,1986,5.9,7.8,2595,1,Horror,,,Terence Stamp,Elisabeth Shue,Steven Finch,0,1.0,2.0,104.13054509110479,,1720450.0
3749,Sorority House Massacre,1986,4.5,7.8,2570,1,Horror,,,Angela O'Neill,Wendy Martel,Pamela Ross,0,0.0,0.0,74.0,,
3750,Sweet Liberty,1986,5.8,7.8,2513,2,Comedy,,,Alan Alda,Michael Caine,Michelle Pfeiffer,0,0.0,0.0,106.0,,14205021.0
3751,Half Moon Street,1986,5.4,7.8,2396,1,Drama,Thriller,,Sigourney Weaver,Michael Caine,Patrick Kavanagh,0,1.0,1.0,90.0,,1131399.0
3752,Avenging Force,1986,5.9,7.8,2337,1,Action,Drama,Thriller,Michael Dudikoff,Steve James,James Booth,0,0.0,0.0,104.0,4000000.0,4679650.0
3753,Monster in the Closet,1986,4.9,7.8,2309,2,Comedy,Horror,Sci-Fi,Donald Grant,Denise DuBarry,Claude Akins,0,0.0,1.0,90.0,,
3754,Meatballs III: Summer Job,1986,3.6,7.8,2206,1,Comedy,Fantasy,Romance,Sally Kellerman,Patrick Dempsey,Al Waxman,0,0.0,0.0,96.0,,2147228.0
3755,Every Time We Say Goodbye,1986,5.9,7.8,2148,3,Drama,Romance,War,Tom Hanks,Cristina Marsillach,Benedict Taylor,0,0.0,0.0,95.0,,278623.0
3756,Spookies,1986,5.1,7.8,2146,1,Comedy,Horror,,Felix Ward,Maria Pechukas,Dan Scott,0,0.0,0.0,104.13054509110479,,17785.0
3757,Reform School Girls,1986,5.3,17.0,2102,1,Crime,Drama,Thriller,Linda Carol,Wendy O. Williams,Pat Ast,0,0.0,0.0,94.0,,2510433.0
3758,Hands of Steel,1986,5.4,7.8,2097,1,Action,Sci-Fi,,Daniel Greene,Janet Agren,Claudio Cassinelli,0,0.0,0.0,94.0,,
3759,'night Mother,1986,7.6,7.8,2069,3,Drama,,,Sissy Spacek,Anne Bancroft,Ed Berke,1,,,96.0,,441863.0
3760,Neon Maniacs,1986,5.1,7.8,2022,1,Horror,Sci-Fi,Thriller,Clyde Hayes,Leilani Sarelle,Donna Locke,0,0.0,0.0,91.0,1500000.0,
3761,Malcolm,1986,7.3,7.8,1964,3,Comedy,Crime,Sci-Fi,Colin Friels,John Hargreaves,Lindy Davies,0,0.0,9.0,90.0,,
3762,Breeders,1986,3.7,7.8,1957,1,Horror,Sci-Fi,,Teresa Farley,Lance Lewman,Frances Raines,0,0.0,0.0,77.0,,
3763,The Whistle Blower,1986,6.2,7.8,1903,2,Thriller,,,Michael Caine,James Fox,Nigel Havers,0,0.0,1.0,100.0,,1500000.0
