Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
133;Pet Sematary;2019;5.7;57;74404;R;https://imdb.com/title/tt0837563/;Horror;Mystery;Thriller;Jason Clarke;Amy Seimetz;John Lithgow;0;0;1;9;101;21000000;113118226
134;Hellboy;2019;5.2;31;72439;R;https://imdb.com/title/tt2274648/;Action;Adventure;Fantasy;David Harbour;Milla Jovovich;Ian McShane;0;0;1;8;120;50000000;44664690
135;Maleficent: Mistress of Evil;2019;6.6;43;71579;PG;https://imdb.com/title/tt4777008/;Adventure;Family;Fantasy;Angelina Jolie;Elle Fanning;Harris Dickinson;0;1;1;7;119;185000000;491730089
136;Brightburn;2019;6.1;44;71422;R;https://imdb.com/title/tt7752126/;Drama;Horror;Mystery;Elizabeth Banks;David Denman;Jackson A. Dunn;0;0;0;1;90;6000000;32893421
137;Hustlers;2019;6.3;79;71408;R;https://imdb.com/title/tt5503686/;Comedy;Crime;Drama;Constance Wu;Jennifer Lopez;Julia Stiles;0;1;20;67;110;20000000;157563598
138;Klaus;2019;8.2;65;70857;PG;https://imdb.com/title/tt4729430/;Animation;Adventure;Comedy;Jason Schwartzman;J.K. Simmons;Rashida Jones;183;1;8;19;96;40000000;
139;Extremely Wicked, Shockingly Evil and Vile;2019;6.6;52;70456;R;https://imdb.com/title/tt2481498/;Biography;Crime;Drama;Lily Collins;Zac Efron;Angela Sarafyan;0;0;4;5;110;;10219049
140;Rambo: Last Blood;2019;6.2;26;69940;R;https://imdb.com/title/tt1206885/;Action;Thriller;;Sylvester Stallone;Paz Vega;Sergio Peris-Mencheta;0;0;4;7;89;50000000;91490353
141;Angel Has Fallen;2019;6.4;45;68882;R;https://imdb.com/title/tt6189022/;Action;Thriller;;Gerard Butler;Frederick Schmidt;Danny Huston;0;0;0;1;121;40000000;147516118
142;Gemini Man;2019;5.7;38;66810;PG-13;https://imdb.com/title/tt1025100/;Action;Drama;Sci-Fi;Will Smith;Mary Elizabeth Winstead;Clive Owen;0;0;1;5;117;138000000;173469516
143;The Highwaymen;2019;6.9;58;66756;R;https://imdb.com/title/tt1860242/;Biography;Crime;Drama;Kevin Costner;Woody Harrelson;Kathy Bates;0;0;0;2;132;49000000;
144;Bombshell;2019;6.8;64;62631;R;https://imdb.com/title/tt6394270/;Biography;Drama;;Charlize Theron;Nicole Kidman;Margot Robbie;0;1;21;51;109;32000000;59636523
145;Dumbo;2019;6.3;51;60880;PG;https://imdb.com/title/tt3861390/;Adventure;Family;Fantasy;Colin Farrell;Michael Keaton;Danny DeVito;0;0;3;12;112;170000000;353284621
146;Fighting with My Family;2019;7.1;68;60047;PG-13;https://imdb.com/title/tt6513120/;Biography;Comedy;Drama;Dwayne Johnson;Lena Headey;Vince Vaughn;0;0;10;2;108;11000000;40810036
147;Isn't It Romantic;2019;5.9;60;58816;PG-13;https://imdb.com/title/tt2452244/;Comedy;Fantasy;Romance;Rebel Wilson;Liam Hemsworth;Adam Devine;0;0;1;8;89;31000000;48791187
148;Crawl;2019;6.2;60;55983;R;https://imdb.com/title/tt8364368/;Drama;Horror;Thriller;Kaya Scodelario;Barry Pepper;Morfydd Clark;0;0;0;3;87;13500000;91542097
149;Cold Pursuit;2019;6.2;57;52378;R;https://imdb.com/title/tt5719748/;Action;Crime;Drama;Liam Neeson;Laura Dern;Micheál Richardson;0;0;0;3;119;60000000;76419755
150;Good Boys;2019;6.7;60;51753;R;https://imdb.com/title/tt7343762/;Adventure;Comedy;;Jacob Tremblay;Keith L. Williams;Brady Noon;0;0;1;7;90;20000000;110940306
151;Anna;2019;6.6;40;51237;R;https://imdb.com/title/tt7456310/;Action;Thriller;;Sasha Luss;Helen Mirren;Luke Evans;0;0;0;1;118;30690000;31640190
152;Annabelle Comes Home;2019;5.9;53;51209;R;https://imdb.com/title/tt8350360/;Horror;Mystery;Thriller;Vera Farmiga;Patrick Wilson;Mckenna Grace;0;0;0;2;106;30000000;231252591
153;Scary Stories to Tell in the Dark;2019;6.2;61;50703;PG-13;https://imdb.com/title/tt3387520/;Adventure;Horror;Mystery;Zoe Margaret Colletti;Michael Garza;Gabriel Rush;0;0;3;3;108;25000000;105822706
154;Happy Death Day 2U;2019;6.2;57;50602;PG-13;https://imdb.com/title/tt8155288/;Comedy;Horror;Mystery;Jessica Rothe;Israel Broussard;Phi Vu;0;0;0;3;100;9000000;64600152
155;Velvet Buzzsaw;2019;5.7;61;50494;R;https://imdb.com/title/tt7043012/;Horror;Mystery;Thriller;Jake Gyllenhaal;Rene Russo;Zawe Ashton;0;0;0;2;113;;
