Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
1945;Son of a Gun;2014;6.5;49;25495;R;https://imdb.com/title/tt2452200/;Action;Crime;Drama;Ewan McGregor;Brenton Thwaites;Alicia Vikander;0;0;0;2;108;;660241
1946;Top Five;2014;6.4;81;25399;R;https://imdb.com/title/tt2784678/;Comedy;Romance;;Chris Rock;Rosario Dawson;Gabrielle Union;0;0;6;20;102;12000000;26117471
1947;Heaven Is for Real;2014;5.8;47;25290;PG;https://imdb.com/title/tt1929263/;Biography;Drama;Family;Greg Kinnear;Kelly Reilly;Thomas Haden Church;0;0;1;5;99;12000000;101888019
1948;Playing It Cool;2014;6.0;30;24877;R;https://imdb.com/title/tt2139555/;Comedy;Romance;;Chris Evans;Michelle Monaghan;Topher Grace;0;0;0;0;94;;1323415
1949;The Taking of Deborah Logan;2014;6.0;;24096;R;https://imdb.com/title/tt3387648/;Horror;Mystery;Thriller;Jill Larson;Anne Ramsay;Michelle Ang;0;0;1;7;90;1500000;407782
1950;Dear White People;2014;6.1;79;23916;R;https://imdb.com/title/tt2235108/;Comedy;Drama;Romance;Tyler James Williams;Tessa Thompson;Kyle Gallner;0;0;14;27;108;;4633961
1951;Honeymoon;2014;5.7;65;23853;R;https://imdb.com/title/tt3177316/;Horror;Mystery;Thriller;Rose Leslie;Harry Treadaway;Ben Huber;0;0;0;5;87;1000000;24343
1952;Mr. Turner;2014;6.8;94;23782;R;https://imdb.com/title/tt2473794/;Biography;Drama;History;Timothy Spall;Paul Jesson;Dorothy Atkinson;0;4;19;64;150;8200000;22179785
1953;In Order of Disappearance;2014;7.2;74;23762;R;https://imdb.com/title/tt2675914/;Action;Crime;Drama;Stellan Skarsgård;Bruno Ganz;Pål Sverre Hagen;0;0;3;10;116;4576591;904446
1954;She's Funny That Way;2014;6.1;45;23640;R;https://imdb.com/title/tt1767372/;Comedy;Drama;;Imogen Poots;Owen Wilson;Jennifer Aniston;0;0;0;1;93;;6034851
1955;You're Not You;2014;7.3;56;23514;R;https://imdb.com/title/tt1198156/;Drama;;;Hilary Swank;Emmy Rossum;Josh Duhamel;0;0;0;1;102;;894964
1956;Obvious Child;2014;6.8;76;22994;R;https://imdb.com/title/tt2910274/;Comedy;Drama;Romance;Jenny Slate;Jake Lacy;Gaby Hoffmann;0;0;10;29;84;;3325417
1957;Son of Batman;2014;6.7;;22835;PG-13;https://imdb.com/title/tt3139072/;Animation;Action;Adventure;Jason O'Mara;Stuart Allan;Thomas Gibson;0;0;1;1;74;;
1958;The Pyramid;2014;4.6;24;22569;R;https://imdb.com/title/tt2799166/;Action;Adventure;Horror;Ashley Hinshaw;James Buckley;Denis O'Hare;0;0;0;1;89;6500000;16861137
1959;Barefoot;2014;6.6;22;22531;PG-13;https://imdb.com/title/tt2355495/;Comedy;Drama;Romance;Evan Rachel Wood;Scott Speedman;J.K. Simmons;0;0;0;1;90;6000000;15071
1960;Cooties;2014;5.7;49;22188;R;https://imdb.com/title/tt2490326/;Action;Comedy;Horror;Elijah Wood;Rainn Wilson;Alison Pill;0;0;1;4;88;;485544
1961;About Last Night;2014;6.1;62;22124;R;https://imdb.com/title/tt1826590/;Comedy;Romance;;Kevin Hart;Michael Ealy;Regina Hall;0;0;0;1;100;12500000;50445860
1962;Good Kill;2014;6.4;63;22096;R;https://imdb.com/title/tt3297330/;Drama;Thriller;War;Ethan Hawke;January Jones;Zoë Kravitz;0;0;0;1;102;;1474471
1963;Dead Snow 2;2014;6.9;59;22011;R;https://imdb.com/title/tt2832470/;Action;Comedy;Horror;Vegar Hoel;Ørjan Gamst;Martin Starr;0;0;15;9;100;35000000;1187477
1964;Jessabelle;2014;5.4;37;21854;PG-13;https://imdb.com/title/tt2300975/;Drama;Horror;Mystery;Sarah Snook;Mark Webber;Joelle Carter;0;0;0;0;90;;6998359
1965;Bang Bang;2014;5.5;;21194;PG-13;https://imdb.com/title/tt2905838/;Action;Adventure;Comedy;Hrithik Roshan;Katrina Kaif;Pavan Malhotra;0;0;3;12;153;;42045981
1966;Clown;2014;5.7;42;21169;R;https://imdb.com/title/tt1780798/;Drama;Fantasy;Horror;Andy Powers;Laura Allen;Peter Stormare;0;0;0;2;100;1500000;4381603
1967;The Riot Club;2014;6.0;54;20942;R;https://imdb.com/title/tt2717860/;Drama;Thriller;;Sam Claflin;Max Irons;Douglas Booth;0;0;0;2;107;;3517925
1968;They Came Together;2014;5.5;60;20676;R;https://imdb.com/title/tt2398249/;Comedy;Romance;;Paul Rudd;Amy Poehler;Bill Hader;0;0;0;0;83;;
1969;Escobar: Paradise Lost;2014;6.5;56;20548;R;https://imdb.com/title/tt2515030/;Crime;Drama;History;Benicio Del Toro;Josh Hutcherson;Claudia Traisac;0;0;0;1;120;17000000;6760531
1970;The Angriest Man in Brooklyn;2014;5.7;21;20500;R;https://imdb.com/title/tt1294970/;Comedy;Drama;;Robin Williams;Mila Kunis;Peter Dinklage;0;0;0;0;83;;615198
1971;Get on Up;2014;6.9;71;20021;PG-13;https://imdb.com/title/tt2473602/;Biography;Drama;Music;Chadwick Boseman;Nelsan Ellis;Dan Aykroyd;0;0;5;18;139;30000000;33448971
1972;Trash;2014;7.2;50;19917;R;https://imdb.com/title/tt1921149/;Adventure;Crime;Drama;Rickson Tevez;Gabriel Weinstein;Martin Sheen;0;1;2;9;114;;4809022
1973;A Little Chaos;2014;6.5;51;19788;R;https://imdb.com/title/tt2639254/;Drama;Romance;;Kate Winslet;Alan Rickman;Stanley Tucci;0;0;0;2;112;;10084623
1974;Think Like a Man Too;2014;5.8;38;19386;PG-13;https://imdb.com/title/tt2239832/;Comedy;Romance;;Kevin Hart;Gabrielle Union;Wendi McLendon-Covey;0;0;2;4;106;24000000;70181428
1975;Life After Beth;2014;5.6;50;19262;R;https://imdb.com/title/tt2581244/;Comedy;Fantasy;Horror;Aubrey Plaza;Dane DeHaan;John C. Reilly;0;0;0;6;89;2400000;274717
1976;A Haunted House 2;2014;4.7;17;19177;R;https://imdb.com/title/tt2828996/;Comedy;Fantasy;;Marlon Wayans;Jaime Pressly;Cedric the Entertainer;0;0;0;0;86;4000000;25358716
1977;Beauty and the Beast;2014;6.4;39;19135;PG-13;https://imdb.com/title/tt2316801/;Drama;Family;Fantasy;Vincent Cassel;Léa Seydoux;André Dussollier;0;0;1;3;112;33000000;47430624
1978;Kill Me Three Times;2014;5.9;30;18920;R;https://imdb.com/title/tt2393845/;Action;Comedy;Crime;Simon Pegg;Teresa Palmer;Alice Braga;0;0;0;4;90;;101807
1979;What We Did on Our Holiday;2014;6.9;54;18916;PG-13;https://imdb.com/title/tt2725962/;Comedy;Drama;;Rosamund Pike;David Tennant;Billy Connolly;0;0;1;3;95;3500000;10714112
1980;The Salt of the Earth;2014;8.5;83;18899;PG-13;https://imdb.com/title/tt3674140/;Documentary;Biography;History;Sebastião Salgado;Wim Wenders;Lélia Wanick Salgado;0;1;12;12;110;;5412189
1981;The Quiet Ones;2014;5.1;41;18755;PG-13;https://imdb.com/title/tt2235779/;Horror;Mystery;Thriller;Jared Harris;Sam Claflin;Olivia Cooke;0;0;0;7;98;200000;17835162
1982;Reasonable Doubt;2014;5.7;19;18296;R;https://imdb.com/title/tt2304953/;Crime;Drama;Thriller;Dominic Cooper;Samuel L. Jackson;Gloria Reuben;0;0;0;0;91;7000000;602802
1983;5 to 7;2014;7.1;52;18112;R;https://imdb.com/title/tt2486678/;Comedy;Drama;Romance;Anton Yelchin;Bérénice Marlohe;Olivia Thirlby;0;0;1;1;95;;674579
1984;Son of God;2014;5.7;37;18106;PG-13;https://imdb.com/title/tt3210686/;Biography;Drama;History;Diogo Morgado;Amber Rose Revah;Greg Hicks;0;0;2;1;138;22000000;70829270
1985;Earth to Echo;2014;5.8;53;18060;PG;https://imdb.com/title/tt2183034/;Adventure;Family;Sci-Fi;Teo Halm;Astro;Reese Hartwig;0;0;2;1;91;13000000;45681062
1986;Welcome to Me;2014;5.9;69;17819;R;https://imdb.com/title/tt2788716/;Comedy;Drama;;Kristen Wiig;James Marsden;Linda Cardellini;0;0;1;2;87;;636819
1987;Blackfoot Trail;2014;6.0;62;17793;R;https://imdb.com/title/tt2944198/;Drama;Horror;Thriller;Jeff Roop;Missy Peregrym;Nicholas Campbell;0;0;0;3;92;;13848
1988;Cuban Fury;2014;6.2;52;17580;R;https://imdb.com/title/tt2390237/;Comedy;Romance;Sport;Nick Frost;Rashida Jones;Chris O'Dowd;0;0;0;1;98;;5678942
1989;No Good Deed;2014;5.6;26;17459;PG-13;https://imdb.com/title/tt2011159/;Action;Crime;Drama;Taraji P. Henson;Idris Elba;Leslie Bibb;0;0;2;2;84;13200000;54323210
1990;Wheels;2014;8.9;;17387;R;https://imdb.com/title/tt2170667/;Drama;;;Donavon Warren;Patrick Hume;Diana Gettinger;0;0;0;0;115;;
1991;Just Before I Go;2014;6.4;24;17341;R;https://imdb.com/title/tt2980472/;Comedy;Drama;;Seann William Scott;Olivia Thirlby;Garret Dillahunt;0;0;0;0;95;;10970
1992;Rudderless;2014;7.5;52;17142;R;https://imdb.com/title/tt1798243/;Comedy;Drama;Music;Billy Crudup;Anton Yelchin;Felicity Huffman;0;0;1;1;105;5000000;546149
1993;Comet;2014;6.8;52;17098;R;https://imdb.com/title/tt2965412/;Comedy;Drama;Romance;Justin Long;Emmy Rossum;Kayla Servi;0;0;0;2;91;;19530
1994;The Prince;2014;4.6;19;17001;R;https://imdb.com/title/tt1085492/;Action;Thriller;;Jason Patric;Bruce Willis;John Cusack;0;0;0;1;93;18000000;1289595
1995;Everly;2014;5.1;35;16674;R;https://imdb.com/title/tt1945084/;Action;Thriller;;Salma Hayek;Hiroyuki Watanabe;Laura Cepeda;0;0;0;1;92;;358156
1996;Lost River;2014;5.8;42;16627;R;https://imdb.com/title/tt2366608/;Drama;Fantasy;Mystery;Christina Hendricks;Iain De Caestecker;Matt Smith;0;0;3;5;95;2000000;615500
1997;Planes: Fire & Rescue;2014;6.0;48;16150;PG;https://imdb.com/title/tt2980706/;Animation;Adventure;Comedy;Dane Cook;Ed Harris;Julie Bowen;0;0;0;6;83;50000000;146965787
1998;Last Shift;2014;5.8;;16119;R;https://imdb.com/title/tt2965466/;Horror;Mystery;Thriller;Juliana Harkavy;Joshua Mikel;Hank Stone;0;0;2;1;90;;
1999;American Heist;2014;5.0;23;16092;R;https://imdb.com/title/tt2923316/;Action;Crime;Drama;Hayden Christensen;Adrien Brody;Jordana Brewster;0;0;0;0;94;10000000;2931475
2000;Phoenix;2014;7.3;89;16046;PG-13;https://imdb.com/title/tt2764784/;Drama;History;Music;Nina Hoss;Ronald Zehrfeld;Nina Kunzendorf;0;0;17;30;98;;5793245
2001;Zombeavers;2014;4.8;44;16029;R;https://imdb.com/title/tt2784512/;Comedy;Horror;;Rachel Melvin;Cortney Palm;Lexi Atkins;0;0;0;0;77;;54985
2002;The Bag Man;2014;5.2;28;15995;R;https://imdb.com/title/tt2212008/;Action;Crime;Drama;John Cusack;Rebecca Da Costa;Robert De Niro;0;0;0;0;108;;461780
2003;Devil's Due;2014;4.1;34;15864;R;https://imdb.com/title/tt2752758/;Horror;Mystery;Thriller;Allison Miller;Zach Gilford;Sam Anderson;0;0;0;3;89;7000000;36921560
2004;Timbuktu;2014;7.1;92;15769;PG-13;https://imdb.com/title/tt3409392/;Drama;War;;Ibrahim Ahmed;Abel Jafri;Toulou Kiki;0;1;28;20;96;;7179391
2005;A Pigeon Sat on a Branch Reflecting on Existence;2014;7.0;81;15750;PG-13;https://imdb.com/title/tt1883180/;Comedy;Drama;Fantasy;Holger Andersson;Nils Westblom;Viktor Gyllenberg;0;0;5;27;101;;1472431
2006;[REC] 4: Apocalypse;2014;5.3;53;15599;R;https://imdb.com/title/tt1649443/;Action;Adventure;Fantasy;Manuela Velasco;Paco Manzanedo;Héctor Colomé;0;0;2;11;95;3000000;4915757
2007;Good People;2014;5.5;42;15083;R;https://imdb.com/title/tt1361318/;Action;Crime;Thriller;James Franco;Kate Hudson;Tom Wilkinson;0;0;0;0;90;;1857574
2008;When the Game Stands Tall;2014;6.7;41;15004;PG;https://imdb.com/title/tt2247476/;Drama;Sport;;Jim Caviezel;Alexander Ludwig;Michael Chiklis;0;0;0;1;115;15000000;30138754
2009;Beyond the Lights;2014;6.9;73;14814;PG-13;https://imdb.com/title/tt3125324/;Drama;Music;Romance;Gugu Mbatha-Raw;Nate Parker;Minnie Driver;0;1;4;24;116;7000000;14618727
2010;Saving Christmas;2014;1.4;18;14743;PG;https://imdb.com/title/tt4009460/;Comedy;Family;;Kirk Cameron;Darren Doane;Bridgette Cameron;6;0;4;2;79;500000;2783970
2011;White God;2014;6.9;80;14660;R;https://imdb.com/title/tt2844798/;Drama;Fantasy;Horror;Zsófia Psotta;Sándor Zsótér;Lili Horváth;0;0;8;21;121;700000000;581904
2012;V/H/S Viral;2014;4.2;38;14657;R;https://imdb.com/title/tt3704538/;Horror;Sci-Fi;Thriller;Patrick Lawrie;Emilia Ares;Celia K. Milius;0;0;0;0;81;;82409
2013;Infinitely Polar Bear;2014;7.0;64;14628;R;https://imdb.com/title/tt1969062/;Comedy;Drama;Romance;Mark Ruffalo;Zoe Saldana;Imogene Wolodarsky;0;1;3;8;90;6700000;1824678
2014;Life Itself;2014;7.8;87;14583;R;https://imdb.com/title/tt2382298/;Documentary;Biography;;Roger Ebert;Chaz Ebert;Gene Siskel;0;0;25;33;121;153875;815645
2015;Samba;2014;6.7;53;14391;R;https://imdb.com/title/tt3399024/;Comedy;Drama;Romance;Omar Sy;Charlotte Gainsbourg;Tahar Rahim;0;0;0;4;118;20000000;39178695
2016;Flight 7500;2014;4.8;;14307;PG-13;https://imdb.com/title/tt1975159/;Horror;Mystery;Sci-Fi;Leslie Bibb;Ryan Kwanten;Amy Smart;0;0;0;0;97;;2871035
2017;The Road Within;2014;7.1;31;13632;R;https://imdb.com/title/tt2962876/;Comedy;Drama;;Robert Sheehan;Dev Patel;Zoë Kravitz;0;0;8;9;100;;41760
2018;Some Kind of Beautiful;2014;5.7;11;13194;R;https://imdb.com/title/tt1725986/;Comedy;Romance;;Pierce Brosnan;Salma Hayek;Jessica Alba;0;0;0;0;99;;2446097
2019;The Town That Dreaded Sundown;2014;5.6;47;13096;R;https://imdb.com/title/tt2561546/;Horror;Mystery;Thriller;Addison Timlin;Veronica Cartwright;Anthony Anderson;0;0;2;1;86;;
2020;Moms' Night Out;2014;5.4;25;12974;PG;https://imdb.com/title/tt3014666/;Comedy;;;Sarah Drew;Sean Astin;Patricia Heaton;0;0;0;1;98;5000000;10536956
2021;And So It Goes;2014;5.8;38;12374;PG-13;https://imdb.com/title/tt2465146/;Comedy;Drama;Romance;Michael Douglas;Diane Keaton;Sterling Jerins;0;0;0;1;94;18000000;25419147
2022;Wrong Turn 6: Last Resort;2014;4.2;;12355;R;https://imdb.com/title/tt3612032/;Horror;;;Anthony Ilott;Chris Jarvis;Aqueela Zoll;0;0;0;1;91;1200000;
2023;Love Is Strange;2014;6.7;82;11889;R;https://imdb.com/title/tt2639344/;Drama;Romance;;John Lithgow;Alfred Molina;Marisa Tomei;0;0;2;20;94;;3057388
2024;The Forger;2014;5.8;32;11612;R;https://imdb.com/title/tt2376218/;Crime;Drama;Thriller;John Travolta;Christopher Plummer;Tye Sheridan;0;0;0;0;95;15000000;500304
2025;Labyrinth of Lies;2014;7.3;62;11528;R;https://imdb.com/title/tt3825638/;Drama;History;;André Szymanski;Alexander Fehling;Friederike Becht;0;0;6;18;124;;4574756
2026;The Disappearance of Eleanor Rigby: Them;2014;6.3;57;11455;R;https://imdb.com/title/tt3729920/;Drama;Romance;;James McAvoy;Jessica Chastain;Viola Davis;0;0;3;8;123;3000000;1448076
2027;Black or White;2014;6.6;45;11376;PG-13;https://imdb.com/title/tt2883434/;Drama;;;Kevin Costner;Octavia Spencer;Gillian Jacobs;0;0;2;2;;9000000;21833967
2028;Kilo Two Bravo;2014;7.1;;11365;R;https://imdb.com/title/tt3622120/;Adventure;Biography;Drama;David Elliot;Mark Stanley;Scott Kyle;0;1;4;6;108;;34017
2029;The Possession of Michael King;2014;5.7;34;11354;R;https://imdb.com/title/tt2282016/;Horror;;;Shane Johnson;Ella Anderson;Cara Pifko;0;0;0;2;83;;2405143
2030;The Look of Silence;2014;8.3;92;11274;PG-13;https://imdb.com/title/tt3521134/;Documentary;Biography;History;Adi Rukun;M.Y. Basrun;Amir Hasan;0;1;48;42;103;;157857
2031;Fed Up;2014;7.7;71;11274;PG;https://imdb.com/title/tt2381335/;Documentary;;;Michele Simon;Katie Couric;Bill Clinton;0;0;0;3;92;;1546229
2032;The Longest Week;2014;5.4;34;11185;PG-13;https://imdb.com/title/tt2064968/;Comedy;Drama;Romance;Jason Bateman;Olivia Wilde;Billy Crudup;0;0;0;1;86;;46460
2033;In the Blood;2014;5.7;40;11023;R;https://imdb.com/title/tt2101570/;Action;Crime;Thriller;Gina Carano;Cam Gigandet;Ismael Cruz Cordova;0;0;0;0;108;10000000;594860
2034;The Hungover Games;2014;3.6;;10996;R;https://imdb.com/title/tt3138104/;Comedy;;;Ross Nathan;Sam Pancake;Ben Begley;94;0;0;0;85;;
2035;Yves Saint Laurent;2014;6.3;51;10918;R;https://imdb.com/title/tt2707858/;Biography;Drama;;Pierre Niney;Guillaume Gallienne;Charlotte Le Bon;0;0;2;8;106;12000000;21026290
2036;Cut Bank;2014;6.0;44;10630;R;https://imdb.com/title/tt1661820/;Crime;Drama;Thriller;Michael Stuhlbarg;Bruce Dern;John Malkovich;0;0;2;3;93;5000000;288591
2037;God's Pocket;2014;6.1;51;10539;R;https://imdb.com/title/tt2920808/;Crime;Drama;;Philip Seymour Hoffman;Christina Hendricks;Richard Jenkins;0;0;0;1;88;1000000;413567
2038;Rob the Mob;2014;6.3;63;10534;R;https://imdb.com/title/tt2481480/;Crime;Drama;;Michael Pitt;Nina Arianda;Andy Garcia;0;0;0;0;104;;209613
2039;Rosewater;2014;6.6;67;10134;R;https://imdb.com/title/tt2752688/;Biography;Drama;;Gael García Bernal;Kim Bodnia;Dimitri Leonidas;0;0;1;1;103;5000000;3171593
2040;Behaving Badly;2014;4.5;18;10061;R;https://imdb.com/title/tt2314824/;Biography;Comedy;;Nat Wolff;Selena Gomez;Mary-Louise Parker;0;0;0;0;97;3000000;422697
2041;Monsters: Dark Continent;2014;4.3;42;9802;R;https://imdb.com/title/tt1935302/;Action;Drama;Horror;Johnny Harris;Sam Keeley;Joe Dempsie;0;0;0;2;119;;306004
2042;A Good Marriage;2014;5.2;43;9679;R;https://imdb.com/title/tt2180994/;Crime;Drama;Thriller;Joan Allen;Anthony LaPaglia;Stephen Lang;0;0;0;0;102;;
2043;Burying the Ex;2014;5.4;37;9646;R;https://imdb.com/title/tt3339674/;Comedy;Horror;Romance;Anton Yelchin;Ashley Greene;Alexandra Daddario;0;0;2;1;89;;668777
2044;The Connection;2014;7.1;67;9616;R;https://imdb.com/title/tt2935564/;Action;Crime;Thriller;Jean Dujardin;Gilles Lellouche;Céline Sallette;0;0;2;5;135;26000000;12062441
2045;Dying of the Light;2014;4.4;31;9447;R;https://imdb.com/title/tt1274586/;Action;Drama;Thriller;Nicolas Cage;Anton Yelchin;Alexander Karim;0;0;0;0;94;5000000;697847
2046;Premature;2014;5.8;34;9438;R;https://imdb.com/title/tt2182256/;Comedy;Fantasy;;John Karna;Caroline Traywick;Kate Kneeland;0;0;0;2;93;;415863
2047;Beyond the Reach;2014;5.6;34;9309;R;https://imdb.com/title/tt2911668/;Thriller;;;Michael Douglas;Jeremy Irvine;Martin Palmer;0;0;0;0;91;;1100432
2048;The Last Five Years;2014;5.9;60;9197;PG-13;https://imdb.com/title/tt2474024/;Comedy;Drama;Musical;Anna Kendrick;Jeremy Jordan;Tamara Mintz;0;0;1;1;94;3500000;292092
2049;Young Ones;2014;5.9;47;9051;R;https://imdb.com/title/tt2693664/;Action;Drama;Romance;Nicholas Hoult;Kodi Smit-McPhee;Michael Shannon;0;0;2;1;100;;7740
2050;Song One;2014;5.8;48;8932;PG-13;https://imdb.com/title/tt2182972/;Drama;Music;;Anne Hathaway;Johnny Flynn;Mary Steenburgen;0;0;0;1;86;6000000;408918
2051;5 Flights Up;2014;6.2;55;8925;PG-13;https://imdb.com/title/tt2933544/;Comedy;Drama;;Diane Keaton;Morgan Freeman;Cynthia Nixon;0;0;0;1;88;6000000;3679847
2052;Northmen - A Viking Saga;2014;5.4;50;8837;R;https://imdb.com/title/tt2290553/;Action;Drama;History;Charlie Murphy;Ed Skrein;James Norton;0;0;0;1;97;;3005082
2053;Addicted;2014;5.2;32;8601;R;https://imdb.com/title/tt2205401/;Drama;Thriller;;Sharon Leal;Boris Kodjoe;John Newberg;0;0;0;0;106;5000000;17534314
2054;My Old Lady;2014;6.4;52;8486;PG-13;https://imdb.com/title/tt2908856/;Comedy;Drama;Romance;Kevin Kline;Kristin Scott Thomas;Maggie Smith;0;0;1;1;107;5000000;10606667
2055;The Big Fat Stone;2014;5.3;;8442;R;https://imdb.com/title/tt3618822/;Drama;;;Ray Abruzzo;Paul Amato;Marcia Bennett;0;0;5;1;111;;
2056;Life Partners;2014;6.2;57;8193;R;https://imdb.com/title/tt2870808/;Comedy;Drama;Romance;Leighton Meester;Gillian Jacobs;Adam Brody;0;0;1;1;93;;8265
2057;John Doe: Vigilante;2014;6.6;;8167;R;https://imdb.com/title/tt1418754/;Crime;Thriller;;Jamie Bamber;Lachy Hulme;Gary Abrahams;0;0;0;0;93;;
2058;Dolphin Tale 2;2014;6.4;58;8076;PG;https://imdb.com/title/tt2978462/;Drama;Family;;Morgan Freeman;Ashley Judd;Nathan Gamble;0;0;0;3;107;36000000;57824533
2059;Exists;2014;5.2;22;7999;R;https://imdb.com/title/tt1988621/;Action;Adventure;Horror;Samuel Davis;Dora Madison;Roger Edwards;0;0;1;2;81;;413767
2060;Adult Beginners;2014;5.6;57;7954;R;https://imdb.com/title/tt3318750/;Comedy;Drama;;Nick Kroll;Rose Byrne;Bobby Cannavale;0;0;0;0;92;;108808
2061;Boulevard;2014;5.8;52;7889;R;https://imdb.com/title/tt2624412/;Drama;;;Robin Williams;Roberto Aguire;Kathy Baker;0;0;0;2;88;;240450
2062;Wolves;2014;5.3;37;7877;R;https://imdb.com/title/tt1403241/;Action;Fantasy;Horror;Lucas Till;Stephen McHattie;John Pyper-Ferguson;0;0;0;0;91;18000000;491154
2063;Bad Country;2014;5.8;;7862;R;https://imdb.com/title/tt2350892/;Action;Crime;Drama;Matt Dillon;Willem Dafoe;Neal McDonough;0;0;0;0;95;;
2064;Appleseed Alpha;2014;6.6;;7800;PG-13;https://imdb.com/title/tt3638012/;Animation;Action;Adventure;Yuka Komatsu;Jun'ichi Suwabe;Aoi Yûki;0;0;0;2;93;;
2065;Haunt;2014;5.2;33;7797;R;https://imdb.com/title/tt2386278/;Horror;Mystery;Romance;Jacki Weaver;Liana Liberato;Harrison Gilbertson;0;0;0;0;86;;2408629
2066;Space Station 76;2014;4.9;49;7693;R;https://imdb.com/title/tt2369317/;Comedy;Drama;Sci-Fi;Patrick Wilson;Liv Tyler;Marisa Coughlan;0;0;0;2;93;;
2067;The Calling;2014;5.8;46;7681;R;https://imdb.com/title/tt1666335/;Drama;Thriller;;Susan Sarandon;Gil Bellows;Ellen Burstyn;0;0;0;4;108;;189254
2068;Falcon Rising;2014;5.8;49;7667;R;https://imdb.com/title/tt2295722/;Action;Adventure;Crime;Michael Jai White;Neal McDonough;Jimmy Navarro;0;0;0;0;103;4500000;267476
2069;Date and Switch;2014;5.7;56;7569;R;https://imdb.com/title/tt1878942/;Comedy;Drama;Romance;Nicholas Braun;Hunter Cope;Dakota Johnson;0;0;0;0;91;;28222
2070;Happy Christmas;2014;5.4;70;7517;R;https://imdb.com/title/tt2955096/;Comedy;Drama;;Anna Kendrick;Melanie Lynskey;Mark Webber;0;0;0;5;82;70000;30312
2071;Plastic;2014;6.0;32;7498;R;https://imdb.com/title/tt2556874/;Action;Comedy;Crime;Ed Speleers;Will Poulter;Alfie Allen;0;0;0;1;;10000000;973987
2072;Madame Bovary;2014;5.7;52;7394;R;https://imdb.com/title/tt2334733/;Drama;Romance;;Mia Wasikowska;Rhys Ifans;Ezra Miller;0;0;0;2;118;;658532
2073;The New Girlfriend;2014;6.5;74;7379;R;https://imdb.com/title/tt3184934/;Drama;;;Romain Duris;Anaïs Demoustier;Raphaël Personnaz;0;0;1;7;108;;5215796
2074;Skin Trade;2014;5.6;39;7346;R;https://imdb.com/title/tt1641841/;Action;Crime;Thriller;Dolph Lundgren;Tony Jaa;Ron Perlman;0;0;0;0;96;9000000;595268
2075;Frontera;2014;6.6;58;7243;PG-13;https://imdb.com/title/tt2510028/;Drama;Thriller;Western;Ed Harris;Eva Longoria;Michael Peña;0;0;0;1;103;;59696
2076;Learning to Drive;2014;6.4;59;7139;R;https://imdb.com/title/tt3062976/;Comedy;Drama;Romance;Patricia Clarkson;Ben Kingsley;Grace Gummer;0;0;1;6;90;;5967516
2077;Manglehorn;2014;5.6;56;6997;PG-13;https://imdb.com/title/tt2893490/;Drama;;;Al Pacino;Holly Hunter;Harmony Korine;0;0;0;1;97;4000000;459636
2078;About Alex;2014;6.4;45;6916;R;https://imdb.com/title/tt2667918/;Drama;;;Nate Parker;Jason Ritter;Maggie Grace;0;0;0;0;99;;
2079;Every Secret Thing;2014;6.1;46;6859;R;https://imdb.com/title/tt1706598/;Crime;Drama;Mystery;Diane Lane;Brynne Norquist;Eva Grace Kellner;0;0;0;0;93;;124733
2080;Search Party;2014;5.6;22;6743;R;https://imdb.com/title/tt2758904/;Adventure;Comedy;;Adam Pally;T.J. Miller;Thomas Middleditch;0;0;0;0;93;20000000;118263
2081;The Remaining;2014;4.3;38;6556;PG-13;https://imdb.com/title/tt2714380/;Drama;Horror;Mystery;Johnny Pacar;Shaun Sipos;Bryan Dechart;0;0;0;0;88;;2297261
2082;Robot Overlords;2014;4.6;47;6534;PG-13;https://imdb.com/title/tt2145829/;Action;Adventure;Sci-Fi;Ben Kingsley;Gillian Anderson;Callan McAuliffe;0;0;0;1;90;21000000;943502
2083;Red Army;2014;7.6;83;6496;PG;https://imdb.com/title/tt3264102/;Documentary;Biography;History;Viacheslav Fetisov;Vladislav Tretiak;Scotty Bowman;0;0;5;10;84;;798680
2084;Loin des hommes;2014;7.2;74;6450;PG-13;https://imdb.com/title/tt2936180/;Drama;War;Western;Viggo Mortensen;Reda Kateb;Djemel Barek;0;0;9;6;101;7700000;1010485
2085;America: Imagine the World Without Her;2014;5.4;15;6435;PG-13;https://imdb.com/title/tt2785390/;Documentary;;;Dinesh D'Souza;Barack Obama;Josh Bonzie;0;0;0;1;;5000000;14444502
2086;Expelled;2014;4.8;;6394;PG-13;https://imdb.com/title/tt4189442/;Comedy;;;Cameron Dallas;Matt Shively;Lia Marie Johnson;0;0;0;0;85;;
2087;The Humbling;2014;5.6;59;6252;R;https://imdb.com/title/tt1568343/;Comedy;Drama;Romance;Al Pacino;Greta Gerwig;Nina Arianda;0;0;0;0;112;2000000;399666
2088;Fear Clinic;2014;4.9;;6230;R;https://imdb.com/title/tt2165765/;Horror;;;Robert Englund;Fiona Dourif;Felisha Terrell;0;0;0;1;95;1000000;106974
2089;The Keeping Room;2014;6.0;58;6150;R;https://imdb.com/title/tt2488778/;Drama;Western;;Brit Marling;Hailee Steinfeld;Sam Worthington;0;0;3;8;95;;73922
2090;Heaven Knows What;2014;6.8;75;6032;R;https://imdb.com/title/tt3687186/;Drama;;;Arielle Holmes;Caleb Landry Jones;Buddy Duress;0;0;5;12;97;;84417
