,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
289,Fury,2014,7.6,64.0,410975.0,R,https://imdb.com/title/tt2713180/,Action,Drama,War,Brad Pitt,Shia LaBeouf,Logan Lerman,0.0,0.0,5.0,23.0,134.0,68000000.0,211817906.0
290,The Amazing Spider-Man 2,2014,6.6,53.0,406761.0,PG-13,https://imdb.com/title/tt1872181/,Action,Adventure,Sci-Fi,Andrew Garfield,Emma Stone,Jamie Foxx,0.0,0.0,4.0,30.0,142.0,200000000.0,708982323.0
291,The Maze Runner,2014,6.8,57.0,405854.0,PG-13,https://imdb.com/title/tt1790864/,Action,Mystery,Sci-Fi,Dylan O'Brien,Kaya Scodelario,Will Poulter,0.0,0.0,4.0,11.0,113.0,34000000.0,348319861.0
292,Dawn of the Planet of the Apes,2014,7.6,79.0,404449.0,PG-13,https://imdb.com/title/tt2103281/,Action,Adventure,Drama,Gary Oldman,Keri Russell,Andy Serkis,0.0,1.0,17.0,1747.0,130.0,170000000.0,710644566.0
293,The Hunger Games: Mockingjay - Part 1,2014,6.6,64.0,400957.0,PG-13,https://imdb.com/title/tt1951265/,Action,Adventure,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,0.0,1.0,21.0,2131.0,123.0,125000000.0,755356711.0
294,Big Hero 6,2014,7.8,74.0,397204.0,PG,https://imdb.com/title/tt2245084/,Animation,Action,Adventure,Ryan Potter,Scott Adsit,Jamie Chung,0.0,1.0,16.0,1658.0,102.0,165000000.0,657827828.0
295,The Theory of Everything,2014,7.7,72.0,386499.0,PG-13,https://imdb.com/title/tt2980516/,Biography,Drama,Romance,Eddie Redmayne,Felicity Jones,Tom Prior,0.0,1.0,24.0,24123.0,123.0,15000000.0,123726688.0
296,Godzilla,2014,6.4,62.0,367846.0,PG-13,https://imdb.com/title/tt0831387/,Action,Adventure,Sci-Fi,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,0.0,0.0,7.0,31.0,123.0,160000000.0,524976069.0
297,22 Jump Street,2014,7.0,71.0,336657.0,R,https://imdb.com/title/tt2294449/,Action,Comedy,Crime,Channing Tatum,Jonah Hill,Ice Cube,0.0,0.0,7.0,24.0,112.0,50000000.0,331333876.0
298,Maleficent,2014,7.0,56.0,333766.0,PG,https://imdb.com/title/tt1587310/,Action,Adventure,Family,Angelina Jolie,Elle Fanning,Sharlto Copley,0.0,1.0,12.0,1242.0,97.0,180000000.0,758410378.0
299,The Fault in Our Stars,2014,7.7,69.0,333518.0,PG-13,https://imdb.com/title/tt2582846/,Drama,Romance,,Shailene Woodley,Ansel Elgort,Nat Wolff,0.0,0.0,21.0,14.0,126.0,12000000.0,307166834.0
300,Boyhood,2014,7.9,100.0,328619.0,R,https://imdb.com/title/tt1065073/,Drama,,,Ellar Coltrane,Patricia Arquette,Ethan Hawke,0.0,1.0,174.0,174215.0,165.0,4000000.0,48137666.0
301,The Equalizer,2014,7.2,57.0,321506.0,R,https://imdb.com/title/tt0455944/,Action,Crime,Thriller,Denzel Washington,Marton Csokas,Chloë Grace Moretz,0.0,0.0,1.0,9.0,132.0,55000000.0,192330738.0
302,The Lego Movie,2014,7.7,83.0,317458.0,PG,https://imdb.com/title/tt1490017/,Animation,Action,Adventure,Chris Pratt,Will Ferrell,Elizabeth Banks,0.0,1.0,72.0,7265.0,100.0,60000000.0,468060692.0
303,The Interview,2014,6.5,52.0,299109.0,R,https://imdb.com/title/tt2788710/,Action,Adventure,Comedy,James Franco,Seth Rogen,Randall Park,0.0,0.0,1.0,6.0,112.0,44000000.0,11782625.0
304,How to Train Your Dragon 2,2014,7.8,76.0,295986.0,PG,https://imdb.com/title/tt1646971/,Animation,Action,Adventure,Jay Baruchel,Cate Blanchett,Gerard Butler,0.0,1.0,14.0,1460.0,102.0,145000000.0,621537519.0
305,Transformers: Age of Extinction,2014,5.6,32.0,293190.0,PG-13,https://imdb.com/title/tt2109248/,Action,Adventure,Sci-Fi,Mark Wahlberg,Nicola Peltz,Jack Reynor,0.0,0.0,5.0,23.0,165.0,210000000.0,1104054072.0
306,Neighbors,2014,6.3,68.0,278684.0,R,https://imdb.com/title/tt2004420/,Comedy,,,Seth Rogen,Rose Byrne,Zac Efron,0.0,0.0,6.0,11.0,97.0,18000000.0,270665134.0
307,300: Rise of an Empire,2014,6.2,48.0,274923.0,R,https://imdb.com/title/tt1253863/,Action,Drama,,Sullivan Stapleton,Eva Green,Lena Headey,0.0,0.0,2.0,7.0,102.0,110000000.0,337580051.0
308,Non-Stop,2014,6.9,56.0,245018.0,PG-13,https://imdb.com/title/tt2024469/,Action,Mystery,Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,0.0,0.0,0.0,1.0,106.0,50000000.0,222809600.0
309,Predestination,2014,7.5,69.0,242533.0,R,https://imdb.com/title/tt2397535/,Action,Adventure,Drama,Ethan Hawke,Sarah Snook,Noah Taylor,0.0,0.0,12.0,19.0,97.0,,4824499.0
310,Noah,2014,5.7,68.0,238497.0,PG-13,https://imdb.com/title/tt1959490/,Action,Adventure,Drama,Russell Crowe,Jennifer Connelly,Anthony Hopkins,0.0,1.0,1.0,118.0,138.0,125000000.0,359200044.0
311,RoboCop,2014,6.1,52.0,212513.0,PG-13,https://imdb.com/title/tt1234721/,Action,Crime,Sci-Fi,Joel Kinnaman,Gary Oldman,Michael Keaton,0.0,0.0,4.0,1.0,117.0,100000000.0,242688965.0
312,Transcendence,2014,6.3,42.0,212359.0,PG-13,https://imdb.com/title/tt2209764/,Action,Drama,Sci-Fi,Johnny Depp,Rebecca Hall,Morgan Freeman,0.0,0.0,3.0,5.0,119.0,100000000.0,103039258.0
313,It Follows,2014,6.8,83.0,200367.0,R,https://imdb.com/title/tt3235888/,Horror,Mystery,Thriller,Maika Monroe,Keir Gilchrist,Olivia Luccardi,0.0,0.0,25.0,41.0,100.0,1000000.0,21528593.0
