,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
3633,Blind Spot. Hitler's Secretary,2002,7.3,79        ,1588,PG,https://imdb.com/title/tt0311320/,Documentary,Biography,War,Traudl Junge,,,0,0,2,2,90,,378382
3634,The Sea,2002,6.8,52        ,1585,R,https://imdb.com/title/tt0332381/,Comedy,Drama,,Gunnar Eyjólfsson,Hilmir Snær Guðnason,Hélène de Fougerolles,0,0,10,7,109,,176401
3635,Une femme de ménage,2002,6.2,68        ,1577,R,https://imdb.com/title/tt0291538/,Comedy,Drama,Romance,Jean-Pierre Bacri,Émilie Dequenne,Brigitte Catillon,0,0,0,1,91,,4719781
3636,Big Girls Don't Cry,2002,6.9,,1570,R,https://imdb.com/title/tt0291213/,Drama,,,Anna Maria Mühe,Karoline Herfurth,Josefine Domes,0,0,0,2,87,,29361
3637,The Escapist,2002,6.2,,1565,R,https://imdb.com/title/tt0299854/,Action,Crime,Drama,Jonny Lee Miller,Andy Serkis,Gary Lewis,0,0,0,0,88,,
3638,My Name Is Tanino,2002,6.5,,1562,PG-13,https://imdb.com/title/tt0280970/,Comedy,Romance,,Corrado Fortuna,Rachel McAdams,Frank Crudele,0,0,3,1,100,,1101229
3639,The Wisher,2002,4.3,,1558,R,https://imdb.com/title/tt0354216/,Horror,Thriller,,Ron Silver,Liane Balaban,Drew Lachey,0,0,0,0,,,15369
3640,Now You Know,2002,6.6,,1554,R,https://imdb.com/title/tt0286855/,Comedy,Romance,,Jeff Anderson,Suzette Andrea,Todd Babcock,0,0,0,0,102,380000,
3641,Atomic Twister,2002,4.0,,1522,PG,https://imdb.com/title/tt0281617/,Action,Drama,Sci-Fi,Sharon Lawrence,Mark-Paul Gosselaar,Carl Lewis,0,0,0,0,86,3000000,
3642,Slash,2002,4.2,,1477,R,https://imdb.com/title/tt0301848/,Comedy,Horror,Thriller,Adam Woolf,Danny Keogh,Milan Murray,0,0,0,0,93,,
3643,Présumé coupable,2002,6.3,,1473,R,https://imdb.com/title/tt0307507/,Action,Crime,Mystery,James Spader,Leslie Stefanson,David Keith,0,0,0,0,,7000000,
3644,The Sea Is Watching,2002,7.1,57        ,1467,R,https://imdb.com/title/tt0316829/,Romance,Drama,,Misa Shimizu,Nagiko Tôno,Masatoshi Nagase,0,0,0,1,119,,1523691
3645,Rock My World,2002,6.2,,1464,R,https://imdb.com/title/tt0269281/,Comedy,Drama,Music,Peter O'Toole,Joan Plowright,Alicia Silverstone,0,0,1,4,106,12000000,
3646,Zhou Yu's Train,2002,6.5,49        ,1447,PG-13,https://imdb.com/title/tt0354243/,Drama,Romance,,Li Gong,Tony Ka Fai Leung,Honglei Sun,0,0,3,6,,,480324
3647,Just a Kiss,2002,5.0,39        ,1431,R,https://imdb.com/title/tt0245479/,Comedy,Drama,Romance,Ron Eldard,Kyra Sedgwick,Marisa Tomei,0,0,1,2,89,,64389
3648,9 Dead Gay Guys,2002,6.2,21        ,1423,R,https://imdb.com/title/tt0336910/,Comedy,Crime,,Glenn Mulhern,Brendan Mackey,Steven Berkoff,0,0,0,2,83,,26377
3649,American Girl,2002,6.0,,1342,R,https://imdb.com/title/tt0329297/,Comedy,Crime,Drama,Jena Malone,Harmony Blossom,Erik von Detten,0,0,0,0,88,,
3650,Alive,2002,5.7,,1338,R,https://imdb.com/title/tt0331834/,Action,Drama,Horror,Hideo Sakaki,Ryô,Koyuki,0,0,0,0,119,,
3651,Scorcher,2002,3.6,,1335,R,https://imdb.com/title/tt0303017/,Action,Adventure,Drama,Mark Dacascos,John Rhys-Davies,Tamara Davies,0,0,0,0,91,,
3652,Skins,2002,7.1,57        ,1332,R,https://imdb.com/title/tt0284494/,Crime,Drama,,Eric Schweig,Graham Greene,Gary Farmer,0,0,3,3,84,,249204
3653,The Anarchist Cookbook,2002,5.1,36        ,1326,R,https://imdb.com/title/tt0284850/,Comedy,Drama,Romance,Devon Gummersall,Dylan Bruno,Gina Philips,0,0,0,0,101,2500000,14369
3654,Zig Zag,2002,5.9,58        ,1326,R,https://imdb.com/title/tt0271885/,Drama,,,John Leguizamo,Natasha Lyonne,Wesley Snipes,0,0,0,1,101,,2418
3655,Frank McKlusky C.I.,2002,4.2,,1317,PG-13,https://imdb.com/title/tt0281865/,Comedy,,,Dave Sheridan,Cameron Richardson,Randy Quaid,0,0,0,0,83,,
3656,Blood Feast 2: All U Can Eat,2002,5.8,,1304,R,https://imdb.com/title/tt0282386/,Comedy,Horror,,Trey Bosworth,Lavelle Higgins,Mark McLachlan,0,0,0,0,92,,
3657,The Singles Ward,2002,6.4,,1301,PG,https://imdb.com/title/tt0306069/,Comedy,Drama,Romance,Will Swenson,Connie Young,Daryn Tufts,0,0,0,0,102,500000,1250798
3658,Disappearance,2002,5.4,,1299,PG-13,https://imdb.com/title/tt0311018/,Mystery,Thriller,Horror,Harry Hamlin,Susan Dey,Jer Adrianne Lelliott,0,0,0,0,92,,
3659,Briar Patch,2002,5.7,,1269,R,https://imdb.com/title/tt0220343/,Drama,Romance,Thriller,Dominique Swain,Henry Thomas,Arie Verveen,0,0,2,3,103,,
